department_name,dept_record_id,ubid,dealer_name,proprietor_name,premises_address,pin_code,registration_status,last_updated,building_name,establishment_name,unit_name,factory_name
factories,FAC-93579,UBID-KA-GWWMP7547H,,Kavita Gupta,"No. 38, Whitefield, Bengaluru",560066,rejected,2025-10-11,,,,GUPTA TRADERS
labour,LAB-78327,UBID-KA-GWWMP7547H,,Kavita Gupta,"No. 38, Whitefield, Bengaluru",560066,rejected,2026-05-12,,Gupta Traders,,
factories,FAC-81582,UBID-KA-UHIOC5681H,,Sunita Jain,"No. 414, HSR Layout, Bengaluru",560100,submitted,2026-09-10,,,,Jain Manufacturing
labour,LAB-73993,UBID-KA-UHIOC5681H,,Sunita Jain,"No. 70, Electronic City, Bengaluru",560100,submitted,2025-08-13,,Jain Manufacturing,,
kspcb,KSP-54057,UBID-KA-UHIOC5681H,,Sunita Jain,"No. 214, Rajajinagar, Bengaluru",560100,submitted,2026-11-16,,,Jain Manufacturing,
factories,FAC-16826,UBID-KA-VZMXF8657E,,Rekha Agarwal,"No. 160, Peenya, Bengaluru",560058,pending_dept,2025-12-25,,,,Agarwal Steel Works
labour,LAB-95426,UBID-KA-VZMXF8657E,,Rekha Agarwal,"No. 160, Peenya, Bengaluru",560058,pending_dept,2025-02-11,,AGARWAL STEEL WORKS,,
labour,LAB-15383,UBID-KA-YAHGA3496H,,Neha Mehta,"No. 261, Marathahalli, Bengaluru",560010,pending_dept,2025-12-22,,Mehta Chemicals Pvt Ltd,,
kspcb,KSP-96706,UBID-KA-YAHGA3496H,,Neha Mehta,"No. 33, Rajajinagar, Bengaluru",560010,pending_dept,2026-01-15,,,Mehta Chemicals Pvt Ltd,
kspcb,KSP-59674,UBID-KA-CQUKA7882P,,Pooja Shah,"No. 28, Malleshwaram, Bengaluru",560003,submitted,2025-12-11,,,Shah Textiles,
factories,FAC-37802,UBID-KA-CQUKA7882P,,Pooja Shah,"No. 293, Malleshwaram, Bengaluru",560003,submitted,2025-12-30,,,,Shah Textiles
commercial_tax,COM-54608,UBID-KA-CQUKA7882P,Shah Textiles,Pooja Shah,"No. 28, Malleshwaram, Bengaluru",560003,submitted,2025-10-14,,,,
commercial_tax,COM-40217,UBID-KA-TWIRA9464G,Verma Construction Co.,Sanjay Verma,"No. 22, HSR Layout, Bengaluru",560102,rejected,2025-05-04,,,,
factories,FAC-51359,UBID-KA-TWIRA9464G,,Sanjay Verma,"No. 22, HSR Layout, Bengaluru",560102,rejected,2025-05-03,,,,Verma Construction Co.
kspcb,KSP-34267,UBID-KA-TWIRA9464G,,Sanjay Verma,"No. 22, HSR Layout, Bengaluru",560102,rejected,2025-07-16,,,Verma Construction Co.,
commercial_tax,COM-62521,UBID-KA-GXPIX9595T,Kulkarni IT Solutions,Manoj Kulkarni,"No. 258, Jayanagar, Bengaluru",560037,pending_dept,2026-05-19,,,,
kspcb,KSP-17026,UBID-KA-GXPIX9595T,,Manoj Kulkarni,"No. 73, Marathahalli, Bengaluru",560037,rejected,2025-06-05,,,Kulkarni IT Solutions,
labour,LAB-21164,UBID-KA-GXPIX9595T,,Manoj Kulkarni,"No. 73, Marathahalli, Bengaluru",560037,approved,2025-09-12,,Kulkarni IT Solutions,,
